UP name,NCBI taxonomy name,Assembly ID (UP matched),Present in GFKB v3 (Y/N),Present in GFKB_epilepsy v3 (Y/N),Present in GFKB v5 (Y/N),In BiGG Models (Y/N),BiGG Model Link
Streptococcus suis (strain GZ1),Streptococcus suis GZ1,GCA_000018185.1,Y,Y,N,N,
Streptococcus thermophilus (strain ATCC BAA-250 / LMG 18311),Streptococcus thermophilus CNRZ1066,GCA_000011825.1,Y,Y,N,N,
Streptococcus thermophilus TH1435,Streptococcus thermophilus LMD-9,GCA_000521285.1,Y,Y,N,N,
Sutterella megalosphaeroides strain 6FBBBH3,Sutterella megalosphaeroides strain 6FBBBH3,GCA_003609995.1,N,N,Y,N,
Tannerella forsythia (strain ATCC 43037 / JCM 10827 / FDC 338) (Bacteroides forsythus),Tannerella forsythia 92A2,GCA_000238215.1,Y,Y,N,N,
Treponema succinifaciens (strain ATCC 33096 / DSM 2489 / 6091),Treponema succinifaciens DSM 2489,GCA_000195275.1,Y,Y,N,N,
Veillonella parvula (strain ATCC 10790 / DSM 2008 / JCM 12972 / Te3) (Veillonella alcalescens),Veillonella parvula DSM 2008,GCA_000024945.1,Y,Y,N,N,
Victivallales bacterium CCUG 44730,Victivallales bacterium CCUG 44730,GCA_002998355.1,N,Y,N,N,
butyrate-producing bacterium SM4/1,butyrate-producing bacterium SM4/1,GCA_000210675.1,Y,Y,N,N,
butyrate-producing bacterium SS3/4,butyrate-producing bacterium SS3/4,GCA_000209895.1,Y,Y,N,N,
